CMDLINE c:\users\a_izadeh\anaconda3\python.exe CloudClustering.py
MEM 50.574219 1555353242.8515
MEM 50.574219 1555353242.9608
MEM 50.574219 1555353243.0702
MEM 50.574219 1555353243.1796
MEM 50.574219 1555353243.2890
MEM 50.574219 1555353243.3983
MEM 50.574219 1555353243.5077
MEM 50.574219 1555353243.6171
MEM 50.574219 1555353243.7264
MEM 54.968750 1555353243.8358
MEM 60.812500 1555353243.9452
MEM 66.113281 1555353244.0546
MEM 72.289062 1555353244.1639
MEM 78.492188 1555353244.2733
MEM 82.679688 1555353244.3827
MEM 88.878906 1555353244.4920
MEM 92.500000 1555353244.6014
MEM 98.710938 1555353244.7108
MEM 104.460938 1555353244.8201
MEM 106.496094 1555353244.9308
MEM 110.519531 1555353245.0402
MEM 111.660156 1555353245.1495
MEM 112.738281 1555353245.2589
MEM 111.234375 1555353245.3682
MEM 112.449219 1555353245.4776
MEM 111.007812 1555353245.5870
MEM 108.660156 1555353245.6963
MEM 107.148438 1555353245.8057
MEM 106.527344 1555353245.9151
MEM 111.843750 1555353246.0245
MEM 111.824219 1555353246.1338
MEM 111.800781 1555353246.2403
MEM 111.781250 1555353246.3497
MEM 111.761719 1555353246.4591
MEM 111.683594 1555353246.5685
MEM 111.277344 1555353246.6778
MEM 111.449219 1555353246.7872
MEM 111.425781 1555353246.8966
MEM 107.710938 1555353247.0025
MEM 105.816406 1555353247.1119
MEM 106.828125 1555353247.2212
MEM 106.769531 1555353247.3306
MEM 110.437500 1555353247.4309
MEM 110.207031 1555353247.5403
MEM 108.105469 1555353247.6496
MEM 108.988281 1555353247.7590
MEM 108.339844 1555353247.8684
MEM 109.863281 1555353247.9778
MEM 109.968750 1555353248.0871
MEM 110.195312 1555353248.1965
MEM 110.183594 1555353248.3059
MEM 106.589844 1555353248.4152
MEM 107.031250 1555353248.5246
MEM 109.632812 1555353248.6340
MEM 107.042969 1555353248.7434
MEM 109.589844 1555353248.8527
MEM 109.320312 1555353248.9621
MEM 105.054688 1555353249.0715
MEM 108.167969 1555353249.1808
MEM 109.253906 1555353249.2902
MEM 109.234375 1555353249.3996
MEM 105.480469 1555353249.5089
MEM 108.941406 1555353249.6183
MEM 107.886719 1555353249.7277
MEM 108.136719 1555353249.8370
MEM 106.238281 1555353249.9505
MEM 107.250000 1555353250.0572
MEM 103.531250 1555353250.1666
MEM 104.492188 1555353250.2759
MEM 105.023438 1555353250.3853
MEM 106.558594 1555353250.4947
MEM 103.179688 1555353250.6041
MEM 107.726562 1555353250.7134
MEM 103.808594 1555353250.8228
MEM 103.203125 1555353250.9322
MEM 107.421875 1555353251.0415
MEM 103.125000 1555353251.1509
MEM 104.804688 1555353251.2603
MEM 107.386719 1555353251.3696
MEM 106.363281 1555353251.4790
MEM 104.078125 1555353251.5884
MEM 104.156250 1555353251.6977
MEM 101.718750 1555353251.8071
MEM 102.910156 1555353251.9168
MEM 103.773438 1555353252.0272
MEM 106.230469 1555353252.1366
MEM 106.207031 1555353252.2460
MEM 106.183594 1555353252.3554
MEM 105.054688 1555353252.4647
MEM 103.585938 1555353252.5741
MEM 105.875000 1555353252.6835
MEM 103.144531 1555353252.7928
MEM 102.968750 1555353252.9022
MEM 102.222656 1555353253.0116
MEM 102.132812 1555353253.1209
MEM 102.652344 1555353253.2303
MEM 105.238281 1555353253.3397
MEM 101.785156 1555353253.4491
MEM 102.378906 1555353253.5584
MEM 102.511719 1555353253.6678
MEM 104.394531 1555353253.7772
MEM 100.648438 1555353253.8865
MEM 101.843750 1555353253.9973
MEM 103.847656 1555353254.1067
MEM 101.042969 1555353254.2161
MEM 103.171875 1555353254.3255
MEM 104.261719 1555353254.4348
MEM 103.984375 1555353254.5442
MEM 98.757812 1555353254.6536
MEM 102.546875 1555353254.7629
MEM 99.484375 1555353254.8723
MEM 99.121094 1555353254.9846
MEM 103.636719 1555353255.0940
MEM 102.949219 1555353255.2034
MEM 102.628906 1555353255.3128
MEM 98.191406 1555353255.4221
MEM 101.554688 1555353255.5315
MEM 101.445312 1555353255.6409
MEM 98.843750 1555353255.7502
MEM 97.703125 1555353255.8596
MEM 102.714844 1555353255.9690
MEM 99.296875 1555353256.0783
MEM 102.410156 1555353256.1877
MEM 97.960938 1555353256.2971
MEM 102.113281 1555353256.3998
MEM 99.019531 1555353256.5091
MEM 102.074219 1555353256.6185
MEM 99.574219 1555353256.7279
MEM 96.539062 1555353256.8372
MEM 99.667969 1555353256.9480
MEM 98.699219 1555353257.0574
MEM 99.644531 1555353257.1667
MEM 101.175781 1555353257.2761
MEM 101.148438 1555353257.3858
MEM 99.769531 1555353257.4975
MEM 99.222656 1555353257.6069
MEM 100.570312 1555353257.7163
MEM 96.000000 1555353257.8257
MEM 100.535156 1555353257.9350
MEM 97.445312 1555353258.0444
MEM 100.253906 1555353258.1538
MEM 99.941406 1555353258.2631
MEM 99.976562 1555353258.3725
MEM 99.941406 1555353258.4865
MEM 95.109375 1555353258.5959
MEM 95.828125 1555353258.7053
MEM 95.375000 1555353258.8146
MEM 97.269531 1555353258.9240
MEM 99.320312 1555353259.0334
MEM 95.968750 1555353259.1427
MEM 97.804688 1555353259.2434
MEM 96.562500 1555353259.3444
MEM 98.972656 1555353259.4551
MEM 95.476562 1555353259.5644
MEM 98.675781 1555353259.6738
MEM 98.398438 1555353259.7832
MEM 95.238281 1555353259.8925
MEM 98.339844 1555353260.0033
MEM 93.437500 1555353260.1127
MEM 93.605469 1555353260.2220
MEM 97.761719 1555353260.3314
MEM 93.152344 1555353260.4408
MEM 97.339844 1555353260.5502
MEM 97.433594 1555353260.6595
MEM 97.406250 1555353260.7689
MEM 93.980469 1555353260.8783
MEM 97.109375 1555353260.9876
MEM 94.937500 1555353261.0970
MEM 96.804688 1555353261.2064
MEM 95.542969 1555353261.3157
MEM 92.339844 1555353261.4251
MEM 96.484375 1555353261.5345
MEM 93.578125 1555353261.6438
MEM 96.179688 1555353261.7532
MEM 95.128906 1555353261.8534
MEM 95.878906 1555353261.9544
MEM 93.937500 1555353262.0551
MEM 95.578125 1555353262.1560
MEM 94.035156 1555353262.2570
MEM 91.617188 1555353262.3579
MEM 95.500000 1555353262.4589
MEM 95.468750 1555353262.5729
MEM 91.250000 1555353262.6823
MEM 92.941406 1555353262.7916
MEM 94.878906 1555353262.9010
MEM 94.878906 1555353263.0104
MEM 94.054688 1555353263.1197
MEM 91.781250 1555353263.2291
MEM 92.734375 1555353263.3385
MEM 91.929688 1555353263.4478
MEM 93.988281 1555353263.5572
MEM 92.277344 1555353263.6666
MEM 93.492188 1555353263.7760
MEM 92.453125 1555353263.8853
MEM 93.015625 1555353263.9947
MEM 89.359375 1555353264.1041
MEM 91.914062 1555353264.2134
MEM 93.027344 1555353264.3228
MEM 92.746094 1555353264.4322
MEM 92.722656 1555353264.5415
MEM 90.949219 1555353264.6425
MEM 89.425781 1555353264.7518
MEM 88.363281 1555353264.8612
MEM 89.042969 1555353264.9720
MEM 90.582031 1555353265.0813
MEM 91.792969 1555353265.1907
MEM 87.804688 1555353265.3001
MEM 91.503906 1555353265.4095
MEM 91.488281 1555353265.5188
MEM 88.335938 1555353265.6282
MEM 89.437500 1555353265.7375
MEM 91.156250 1555353265.8469
MEM 90.875000 1555353265.9563
MEM 89.210938 1555353266.0657
MEM 90.558594 1555353266.1750
MEM 88.777344 1555353266.2844
MEM 90.039062 1555353266.3938
MEM 86.410156 1555353266.5031
MEM 89.945312 1555353266.6125
MEM 86.207031 1555353266.7219
MEM 89.636719 1555353266.8281
MEM 86.355469 1555353266.9378
MEM 89.074219 1555353267.0482
MEM 86.148438 1555353267.1576
MEM 87.453125 1555353267.2670
MEM 88.968750 1555353267.3768
MEM 85.609375 1555353267.4837
MEM 88.238281 1555353267.5931
MEM 84.945312 1555353267.7024
MEM 87.933594 1555353267.8118
MEM 85.949219 1555353267.9212
MEM 87.761719 1555353268.0306
MEM 85.976562 1555353268.1399
MEM 85.160156 1555353268.2493
MEM 85.160156 1555353268.3587
MEM 85.851562 1555353268.4680
MEM 86.828125 1555353268.5774
MEM 83.816406 1555353268.6868
MEM 83.488281 1555353268.7961
MEM 85.929688 1555353268.9055
MEM 85.929688 1555353269.0149
MEM 83.437500 1555353269.1242
MEM 83.105469 1555353269.2336
MEM 82.816406 1555353269.3430
MEM 84.277344 1555353269.4524
MEM 85.058594 1555353269.5617
MEM 84.964844 1555353269.6711
MEM 84.273438 1555353269.7805
MEM 84.648438 1555353269.8898
MEM 81.351562 1555353270.0006
MEM 81.371094 1555353270.1100
MEM 84.042969 1555353270.2194
MEM 83.386719 1555353270.3287
MEM 80.531250 1555353270.4381
MEM 83.675781 1555353270.5475
MEM 81.980469 1555353270.6568
MEM 83.351562 1555353270.7662
MEM 80.546875 1555353270.8756
MEM 82.773438 1555353270.9850
MEM 79.710938 1555353271.0943
MEM 81.468750 1555353271.2037
MEM 82.414062 1555353271.3130
MEM 80.992188 1555353271.4224
MEM 81.859375 1555353271.5318
MEM 80.890625 1555353271.6412
MEM 81.664062 1555353271.7505
MEM 80.746094 1555353271.8599
MEM 80.468750 1555353271.9706
MEM 80.308594 1555353272.0799
MEM 78.566406 1555353272.1893
MEM 78.800781 1555353272.2987
MEM 78.871094 1555353272.4060
MEM 79.183594 1555353272.5154
MEM 78.578125 1555353272.6248
MEM 78.097656 1555353272.7342
MEM 77.738281 1555353272.8435
MEM 77.851562 1555353272.9529
MEM 78.500000 1555353273.0623
MEM 77.113281 1555353273.1716
MEM 76.019531 1555353273.2810
MEM 75.742188 1555353273.3904
MEM 75.835938 1555353273.4997
MEM 77.363281 1555353273.6091
MEM 76.695312 1555353273.7185
MEM 75.312500 1555353273.8278
MEM 76.664062 1555353273.9372
MEM 75.152344 1555353274.0466
MEM 75.804688 1555353274.1560
MEM 76.238281 1555353274.2653
MEM 74.605469 1555353274.3661
MEM 74.906250 1555353274.4756
MEM 75.609375 1555353274.5850
MEM 74.730469 1555353274.6944
MEM 75.261719 1555353274.8038
MEM 74.773438 1555353274.9131
MEM 72.371094 1555353275.0258
MEM 72.464844 1555353275.1352
MEM 73.960938 1555353275.2445
MEM 71.542969 1555353275.3539
MEM 72.296875 1555353275.4633
MEM 71.234375 1555353275.5727
MEM 72.812500 1555353275.6820
MEM 72.187500 1555353275.7914
MEM 71.691406 1555353275.9008
MEM 70.804688 1555353276.0101
MEM 71.562500 1555353276.1195
MEM 70.906250 1555353276.2289
MEM 70.941406 1555353276.3382
MEM 69.960938 1555353276.4493
MEM 69.523438 1555353276.5587
MEM 69.636719 1555353276.6680
MEM 69.652344 1555353276.7774
MEM 69.078125 1555353276.8868
MEM 68.761719 1555353276.9955
MEM 68.429688 1555353277.1049
MEM 67.628906 1555353277.2142
MEM 65.929688 1555353277.3236
MEM 67.183594 1555353277.4385
MEM 66.378906 1555353277.5478
MEM 66.234375 1555353277.6572
MEM 65.246094 1555353277.7666
MEM 64.914062 1555353277.8760
MEM 64.222656 1555353277.9853
MEM 62.820312 1555353278.0947
MEM 63.441406 1555353278.2040
MEM 62.093750 1555353278.3134
MEM 62.171875 1555353278.4228
MEM 61.082031 1555353278.5322
MEM 60.164062 1555353278.6415
MEM 58.968750 1555353278.7509
MEM 56.886719 1555353278.8603
MEM 54.250000 1555353278.9697
MEM 49.203125 1555353279.0790
